Statute:,Crime:,Class:
§ 14-127.1(b),Graffiti vandalism,1
§ 14-127.1(c),Graffiti vandalism,H
§ 14-128,"Injury to trees, crops, lands, etc., of another",1
§ 14-129,"Taking, etc., of certain wild plants from land of another.",3
§ 14-129.2,Unlawful to take sea oats,3
§ 14-129.3,Felony taking of Venus flytrap,H
§ 14-130,Trespass on public lands,1
§ 14-131,Trespass on land under option by the federal government,3
§ 14-132,Disorderly conduct in and injuries to public buildings and facilities.,2
§ 14-132.2,"Willfully trespassing upon, damaging, or impeding the progress of a public school bus",1
§ 14-134.2,Operating motor vehicle upon utility easements after being forbidden to do so,3
§ 14-134.3(a),Domestic criminal trespass,1
§ 14-134.3(b),Domestic criminal trespass (at safe house for domestic abuse victims),G
§ 14-135,"Cutting, injuring, or removing another's timber (under felony value in 14-72)",1
§ 14-135,"Cutting, injuring, or removing another's timber (over felony value in 14-72)",H
§ 14-136,Setting fire to grass and brushlands and woodlands (first offense),2
§ 14-136,Setting fire to grass and brushlands and woodlands (intent to damage shown),I
§ 14-137,Willfully or negligently setting fire to woods and fields,2
§ 14-138.1,"Setting fire to grassland, brushland, or woodland",3
§ 14-140.1,Certain fire to be guarded by watchman,Infraction
§ 14-141(1),"Burning or otherwise destroying crops in the field (under 2,000 damage)",1
§ 14-141(2),"Burning or otherwise destroying crops in the field (2,000+ damage)",I
§ 14-142,Injuries to dams and water channels of mills and factories,2
§ 14-144(1),"Injuring houses, churches, fences and walls (5,000 damage or less)",2
§ 14-144(2),"Injuring houses, churches, fences and walls (over 5,000 damage)",I
§ 14-145,Unlawful posting of advertisements,3
§ 14-146,Injuring bridges,1
§ 14-147,"Removing, altering or defacing landmarks",2
§ 14-148,"Defacing or desecrating grave sites (damage under 1,000)",1
§ 14-148,"Defacing or desecrating grave sites (damage at or over 1,000)",1
§ 14-149(a),"Desecrating, plowing over or covering up graves; desecrating human remains",I
§ 14-149(b),"Desecrating, plowing over or covering up graves; desecrating human remains",H
§ 14-151(d)(1),"Interfering with gas, electric, and steam appliances or meters; penalties",1
§ 14-151(d)(2),"Interfering with gas, electric, and steam appliances or meters; penalties",H
§ 14-151(d)(3),"Interfering with gas, electric, and steam appliances or meters; penalties",F
§ 14-151(d)(4),"Interfering with gas, electric, and steam appliances or meters; penalties",D
§ 14-152,Injuring fixtures and other property of gas companies,3
§ 14-153,Tampering with engines and boilers,2
§ 14-154,"Injuring wires and other fixtures of telephone, telegraph, and electric-power companies",I
§ 14-155,Unauthorized connections with telephone or telegraph,3
§ 14-156,Injuring fixtures and other property of electric-power companies,2
§ 14-157,Felling trees on telephone and electric-power wires,3
§ 14-158,Interfering with telephone lines,2
§ 14-159,Injuring buildings or fences; taking possession of house without consent,3
§ 14-159.1,Contaminating a public water system,C
§ 14-159.2(a),Interference with animal research,1
§ 14-159.2(c),Interference with animal research,I
§ 14-159.3,Trespass to land on motorized all-terrain vehicle,2
§ 14-159.4(c)(1),"Cutting, mutilating, defacing, or otherwise injuring property to obtain nonferrous metals (less than 1,000 damage)",1
§ 14-159.4(c)(1),"Cutting, mutilating, defacing, or otherwise injuring property to obtain nonferrous metals (1,000 to 10,000 damages)",H
§ 14-159.4(c)(1),"Cutting, mutilating, defacing, or otherwise injuring property to obtain nonferrous metals (over 10,000 damages)",F
§ 14-159.4(c)(2),"Cutting, mutilating, defacing, or otherwise injuring property to obtain nonferrous metals (resulting in serious injury to person)",A1
§ 14-159.4(c)(3),"Cutting, mutilating, defacing, or otherwise injuring property to obtain nonferrous metals (resulting in serious bodily injury to person)",F
§ 14-159.4(c)(4),"Cutting, mutilating, defacing, or otherwise injuring property to obtain nonferrous metals (resulting in death of person)",F
§ 14-159.4(c)(5),"Cutting, mutilating, defacing, or otherwise injuring property to obtain nonferrous metals (resulting in damage to critical infrastructure)",1
§ 14-159.6(a),"Trespass for purposes of hunting, etc., without written consent ",2
§ 14-159.6(b),"Trespass for purposes of hunting, etc., without written consent ",1
§ 14-159.8,"Mutilation, etc., of ""posted"" signs; posting signs without consent of owner or agent",3
§ 14-159.12(b),First degree trespass,2
§ 14-159.12(c),First degree trespass,A1
§ 14-159.12(d),First degree trespass,H
§ 14-159.12(f),First degree trespass,I
§ 14-159.13,Second degree trespass,3
§ 14-159.21,Vandalism (of a cave),3
§ 14-159.22,Sale of speleothems unlawful,3
§ 14-160(a),Willful and wanton injury to personal property (damage up to 200),2
§ 14-160(b),Willful and wanton injury to personal property (over 200),1
§ 14-160.1,"Alteration, destruction or removal of permanent identification marks from personal property",1
§ 14-160.2,"Alteration, destruction, or removal of serial number from firearm; possession of firearm with serial number removed",H
§ 14-160.3,"Injuring, destroying, removing, vandalizing, or tampering with firefighting or emergency medical services machinery or equipment",1
§ 14-162,Removing boats,2
§ 14-163,Poisoning livestock,I
§ 14-163.1(a1),"Assaulting a law enforcement agency animal, an assistance animal, or a search and rescue animal (kills animal)",H
§ 14-163.1(b),"Assaulting a law enforcement agency animal, an assistance animal, or a search and rescue animal (serious harm)",I
§ 14-163.1(b),"Assaulting a law enforcement agency animal, an assistance animal, or a search and rescue animal (cause or attempt to cause harm)",1
§ 14-163.1(d),"Assaulting a law enforcement agency animal, an assistance animal, or a search and rescue animal (taunt, harass, etc)",2
§ 14-165,Malicious or willful injury to hired personal property,2
§ 14-166,Subletting of hired property,2
§ 14-167,Failure to return hired property,3
§ 14-167,"Failure to return hired property (vehicle in excess of 4,000 value)",H
§ 14-168,Hiring with intent to defraud (mostly directly applies to conveyances and draft animals),2
§ 14-168.1,"Conversion by bailee, lessee, tenant or attorney-in-fact (under 400)",3
§ 14-168.1,"Conversion by bailee, lessee, tenant or attorney-in-fact (excess of 400)",H
§ 14-168.4,Failing to return rented property on which there is purchase option,3
§ 14-177,Crime against nature,I
§ 14-178(b)(1),Incest.,B1
§ 14-178(b)(2),Incest.,C
§ 14-178(b)(3),Incest.,F
§ 14-183,Bigamy,I
§ 14-184,Fornication and adultery,2
§ 14-186,Opposite sexes occupying same bedroom at hotel for immoral purposes; falsely registering as husband and wife,2
§ 14-188,"*Keeping whorehouse, etc",2
§ 14-190.1,Obscene literature and exhibitions,I
§ 14-190.4,Coercing acceptance of obscene articles or publications,1
§ 14-190.5,"Preparation of obscene photographs, slides and motion pictures",1
§ 14-190.5A(c)(1),Disclosure of private images,H
§ 14-190.5A(c)(2),Disclosure of private images,1
§ 14-190.5A(c)(3),Disclosure of private images,H
§ 14-190.6,Employing or permitting minor to assist in offense under Article,I
§ 14-190.7,Dissemination to minors under the age of 16 years,I
§ 14-190.8,Dissemination to minors under the age of 13 years,I
§ 14-190.9(a),Indecent exposure,2
§ 14-190.9(a1),Indecent exposure,H
§ 14-190.9(a2),Indecent exposure,2
§ 14-190.9(a4),Indecent exposure,2
§ 14-190.9(a5),Indecent exposure,2
§ 14-190.14,Displaying material harmful to minors,2
§ 14-190.15, Disseminating harmful material to minors; exhibiting harmful performances to minors,1
§ 14-190.16,First degree sexual exploitation of a minor,C
§ 14-190.17,Second degree sexual exploitation of a minor,E
§ 14-190.17A,Third degree sexual exploitation of a minor,H
§ 14-196,*Telephone harassment,2
§ 14-196.3,Cyberstalking,2
§ 14-199,Obstructing way to places of public worship,2
§ 14-202(a),Secretly peeping (NB: enhanced penalties for repeat offenses),1
§ 14-202(a1),Secretly peeping (NB: enhanced penalties for repeat offenses),1
§ 14-202(c),Secretly peeping (NB: enhanced penalties for repeat offenses),A1
§ 14-202(d),Secretly peeping (NB: enhanced penalties for repeat offenses),I
§ 14-202(e),Secretly peeping (NB: enhanced penalties for repeat offenses),I
§ 14-202(f),Secretly peeping (NB: enhanced penalties for repeat offenses),I
§ 14-202(g),Secretly peeping (NB: enhanced penalties for repeat offenses),I
§ 14-202(h),Secretly peeping (NB: enhanced penalties for repeat offenses),H
§ 14-202.1,Taking indecent liberties with children,F
§ 14-202.2,Indecent liberties between children,1
§ 14-202.3(c)(1),Solicitation of child by computer or certain other electronic devices to commit an unlawful sex act,H
§ 14-202.3(c)(2),Solicitation of child by computer or certain other electronic devices to commit an unlawful sex act (accused/agent of accused shows up to arranged meeting),G
§ 14-202.4,Taking indecent liberties with a student,I
§ 14-202.5,Ban use of commercial social networking Web sites by sex offenders,I
§ 14-202.11,Restrictions as to adult establishments (first offense),3
§ 14-202.11,Restrictions as to adult establishments (subsequent offenses),2
§ 14-204,Prostitution,1
§ 14-205.1(a),Solicitation of prostitution (first offense),1
§ 14-205.1(a),Solicitation of prostitution (subsequent offenses),H
§ 14-205.1(a),Solicitation of prostitution (where prostitute is minor),G
§ 14-205.1(a),Solicitation of prostitution (mentally disabled prostitute),E
§ 14-205.2(b),Patronizing a prostitute (first offense),A1
§ 14-205.2(b),Patronizing a prostitute (subsequent offenses),G
§ 14-205.2(c),Patronizing a prostitute (where prostitute is minor),F
